turtle_num,date,reef_id,Community,Province,species_id, Sps identifed correctly by monitor?,Fishing method,Time,photo_num,CCL (cm),DNA_bottle_num,Use,Turtle products sold locally,Turtle products sold in Honiara,Notes
251,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 251,63.5,QPWSN87417,Family Feast/birthday party,,,
252,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 252,47,QPWSN87442,Family Feast/birthday party,,,
253,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 253,59,QPWSN87407,Family Feast/birthday party,,,
254,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 254,53,QPWSN87431,Family Feast/birthday party,,,
255,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 255,64.5,QPWSN87437,Family Feast/birthday party,,,
256,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 256,56.7,QPWSN87402,Family Feast/birthday party,,,
257,29.11.17,484,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 257,66.3,QPWSN87443,Family Feast/birthday party,,,
258,29.11.17,484,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 258,79.6,QPWSN87415,Family Feast/birthday party & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
259,01.12.17,540,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 259,52,QPWSN87414,Food for family/Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
260,01.12.17,319,Wagina,Choiseul,Green,Yes,Freediving/spear,Day,Wagina 260,52.5,QPWSN87409,Family Feast/funeral ,,,
261,01.12.17,319,Wagina,Choiseul,Green,Yes,Freediving/spear,Day,Wagina 261,81.3,QPWSN87420,Family Feast/funeral ,,,
,01.12.17,319,Wagina,Choiseul,unknown,N/A,Freediving/spear,Day,,Not recorded,DNA not taken,Family Feast/funeral ,,,turtle butchered day before could not be inspected
,01.12.17,319,Wagina,Choiseul,unknown,N/A,Freediving/spear,Day,,Not recorded,DNA not taken,Family Feast/funeral ,,,turtle butchered day before could not be inspected
262,09.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 262,84,QPWSN87438,Food for family,,,
263,09.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 263,89.1,QPWSN87411,Food for family,,,
264,23.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 264,58,QPWSN87448,Food for family,,,
265,23.12.17,491,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 265,89.5,QPWSN87434,Food for family/Sale,,Shell will be sold in Honiara to exporter,
266,24.12.17,475,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 266,42.1,QPWSN87288,Family Feast/Christmas ,,,
267,24.12.17,475,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 267,86,QPWSN87405,Family Feast/Christmas & Sale,,Shell will be sold in Honiara to exporter,
268,24.12.17,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 268,60,QPWSN87262,Family Feast/Christmas ,,,
269,24.12.17,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 269,59.5,QPWSN87266,Family Feast/Christmas ,,,
270,24.12.17,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 270,59.8,QPWSN87293,Family Feast/Christmas ,,,
271,24.12.17,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 271,96.5,QPWSN87298,Family Feast/Christmas ,,,
272,26.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 272,90,QPWSN87268,Family Feast/birthday party,,,
273,26.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 273,86,QPWSN87271,Family Feast/birthday party,,,
274,26.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 274,81.5,QPWSN87297,Family Feast/birthday party,,,
275,26.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 275,84,QPWSN87274,Family Feast/birthday party,,,
276,26.12.17,501,Wagina,Choiseul,Hawksbill,Yes,Freediving,Day,Wagina 276,41.5,QPWSN87273,Family Feast/birthday party,,Shell too small to sell,
277,26.12.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 277,85.2,QPWSN87275,Family Feast/birthday party,,,
278,09.01.18,490,Wagina,Choiseul,Green,Yes,Freediving,Night,Not taken,59,QPWSN87290,Food for family,,,
279,09.01.18,490,Wagina,Choiseul,Green,Yes,Freediving,Night,Not taken,77.2,QPWSN87269,Food for family,,,
280,20.01.18,489,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 280,58,QPWSN87256,Food for family,,,
281,27.01.18,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 281,47.5,QPWSN87288 (sample lost),Food for family,,,
282,27.01.18,500,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 282,46.4,QPWSN87282,Food for family,,,
283,22.02.18,476,Wagina,Choiseul,Hawksbill,N/A,Freediving,Night,Wagina 283,86,QPWSN87292,Food for family/Sale,,Shell will be sold in Honiara to exporter,
284,22.02.18,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 284,67.3,QPWSN87265,Food for family,,,
285,22.02.18,476,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 285,65,QPWSN87294,Food for family,,,
286,23.02.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 286,98,QPWSN87276,Family Feast/birthday party,,,Meat sent to Honiara for relatives Birthday party
287,23.02.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 287,85,QPWSN87258,Family Feast/birthday party,,,Meat sent to Honiara for relatives Birthday party
288,23.02.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 288,96,QPWSN87264,Family Feast/birthday party,,,Meat sent to Honiara for relatives Birthday party
289,23.02.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 289,79.5,QPWSN87263,Family Feast/birthday party,,,Meat sent to Honiara for relatives Birthday party
290,23.02.17,501,Wagina,Choiseul,Green,Yes,Freediving,Day,Wagina 290,88,QPWSN87289,Family Feast/birthday party,,,Meat sent to Honiara for relatives Birthday party
291,23.02.17,501,Wagina,Choiseul,Green,N/A,Freediving,Day,Wagina 291,90,QPWSN87261,Family Feast/birthday party,,,Meat sent to Honiara for relatives Birthday party
292,23.02.17,501,Wagina,Choiseul,Hawksbill,N/A,Freediving,Day,Wagina 292,83,DNA not taken,Family Feast/birthday party & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),Meat sent to Honiara for relatives Birthday party
293,26.02.18,475,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 293,88,DNA not taken,Family Feast/birthday party & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
294,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 294,59,DNA not taken,Family Feast/birthday party,,,
295,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 295,69,DNA not taken,Family Feast/birthday party,,,
296,26.02.18,475,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 296,86.3,DNA not taken,Family Feast/birthday party & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
297,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 297,63.6,DNA not taken,Family Feast/birthday party,,,
298,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 298,65.3,DNA not taken,Family Feast/birthday party,,,
299,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 299,62.5,DNA not taken,Family Feast/birthday party,,,
300,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 300,62.3,DNA not taken,Family Feast/birthday party,,,
301,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 301,63.5,DNA not taken,Family Feast/birthday party,,,
302,26.02.18,475,Wagina,Choiseul,Green,Yes,Freediving,Night,Wagina 302,61,DNA not taken,Family Feast/birthday party,,,
303,26.02.18,475,Wagina,Choiseul,Hawksbill,Yes,Freediving,Night,Wagina 303,62.5,DNA not taken,Family Feast/birthday party & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
304,02.03.18,292,Wagina,Choiseul,Green,Yes,Freediving/spear,Day,Wagina 304,96,DNA not taken,Food for family,,,
305,02.03.18,292,Wagina,Choiseul,Green,Yes,Freediving/spear,Day,Wagina 305,75,DNA not taken,Food for family,,,
306,02.03.18,497,Wagina,,Green,Yes,Freediving/spear,Night,Wagina 306,81.5,DNA not taken,Family Feast/baptism ,,,
307,02.03.18,497,Wagina,Choiseul,Green,Yes,Freediving/spear,Night,Wagina 307,97.5,DNA not taken,Family Feast/baptism ,,,
308,11.03.18,319,Wagina,Choiseul,Green,N/A,Freediving/spear,Day,Not taken,68,DNA not taken,Food for family,,,
,11.03.18,319,Wagina,Choiseul,unknown,N/A,Freediving/spear,Day,Not taken,Not recorded,DNA not taken,Food for family,,,turtle butchered before it could be inspected carapace thrown in river
,11.03.18,319,Wagina,Choiseul,unknown,N/A,Freediving/spear,Day,Not taken,Not recorded,DNA not taken,Food for family,,,turtle butchered before it could be inspected carapace thrown in river
,11.03.18,319,Wagina,Choiseul,unknown,N/A,Freediving/spear,Day,Not taken,Not recorded,DNA not taken,Food for family,,,turtle butchered before it could be inspected carapace thrown in river
309,11.03.18,292,Wagina,Choiseul,Green,N/A,Freediving/spear,Day,Not taken,76,DNA not taken,Food for family,,,
310,11.03.18,500,Wagina,Choiseul,Hawksbill,N/A,Freediving/spear,Day,Not taken,45,DNA not taken,Food for family,,,
311,12.03.18,501,Wagina,Choiseul,Green,N/A,Freediving,Day,Not taken,95.3,DNA not taken,Food for family,,,Choiseul
312,18.03.18,540,Wagina,Choiseul,Hawksbill,N/A,Captured while nesting,Night,Not taken,85.3,DNA not taken,Sale ,Whole turtle (SBD $200),Shell will be sold in Honiara to exporter (SBD $500-600 kg),
,17.03.18,319,Wagina,Choiseul,Green,N/A,Freediving/spear,Day,Not taken,Not recorded,DNA not taken,Food for family,,,turtle butchered before it could be inspected carapace thrown in river
313,19.03.18,497,Wagina,Choiseul,Hawksbill,N/A,Freediving,Night,Not taken,47,DNA not taken,Food for family,,,Shell too small to sell
,19.03.18,497,Wagina,Choiseul,unknown,N/A,Freediving,Night,Not taken,Not recorded,DNA not taken,Food for family,,,turtle butchered before it could be inspected carapace thrown in river
314,19.03.18,319,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,48.6,DNA not taken,Food for family,,,
315,19.03.18,319,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,46,DNA not taken,Food for family,,,
316,26.03.18,501,Wagina,Choiseul,Green,N/A,Freediving,Day,Not taken,71,DNA not taken,Food for family,,,
317,27.03.18,501,Wagina,Choiseul,Green,N/A,Rodeo,Day,Not taken,87.6,DNA not taken,Sale,Whole turtle (SBD $200),,
318,29.03.18,319,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,70.3,DNA not taken,Food for family,,,
319,31.03.18,501,Wagina,Choiseul,Green,N/A,Freediving,Day,Not taken,82.3,DNA not taken,Sale,Whole turtle (SBD $200),,
320,31.03.18,501,Wagina,Choiseul,Green,N/A,Freediving,Day,Not taken,91.2,DNA not taken,Sale,Whole turtle (SBD $200),,
,31.03.18,501,Wagina,Choiseul,unknown,N/A,Freediving,Day,Not taken,Not recorded,DNA not taken,Family Feast/easter,,,"Turtle butchered at island for drying, couldn’t inspect "
,31.03.18,501,Wagina,Choiseul,unknown,N/A,Freediving,Day,Not taken,Not recorded,DNA not taken,Family Feast/easter,,,"Turtle butchered at island for drying, couldn’t inspect "
,31.03.18,501,Wagina,Choiseul,unknown,N/A,Freediving,Day,Not taken,Not recorded,DNA not taken,Family Feast/easter,,,"Turtle butchered at island for drying, couldn’t inspect "
,31.03.18,501,Wagina,Choiseul,unknown,N/A,Freediving,Day,Not taken,Not recorded,DNA not taken,Family Feast/easter,,,"Turtle butchered at island for drying, couldn’t inspect "
,31.03.18,501,Wagina,Choiseul,unknown,N/A,Freediving,Day,Not taken,Not recorded,DNA not taken,Family Feast/easter,,,"Turtle butchered at island for drying, couldn’t inspect "
321,31.03.18,535,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,47.9,DNA not taken,Food for family,,,
322,10.04.18,319,Wagina,Choiseul,Green,N/A,Rodeo,Day,Not taken,46.7,DNA not taken,Food for family,,,
323,10.04.18,319,Wagina,Choiseul,Green,N/A,Rodeo,Day,Not taken,47.2,DNA not taken,Food for family,,,
324,10.04.18,319,Wagina,Choiseul,Green,N/A,Rodeo,Day,Not taken,76.5,DNA not taken,Food for family,,,
325,16.04.18,319,Wagina,Choiseul,Green,N/A,Rodeo,Day,Not taken,48.4,DNA not taken,Food for family,,,
326,16.04.18,476,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,71.5,DNA not taken,Family Feast/funeral ,,,
327,16.04.18,476,Wagina,Choiseul,Hawksbill,N/A,Freediving,Night,Not taken,80,DNA not taken,Family Feast/funeral & Sale,,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
328,16.04.18,476,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,70.5,DNA not taken,Family Feast/funeral ,,,
329,07.05.18,294,Wagina,Choiseul,Hawksbill,N/A,Captured while nesting,Night,Not taken,89.4,DNA not taken,Sale ,Meat and blood ,Shell will be sold in Honiara to exporter (SBD $500-600 kg),
330,22.05.18,540,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,48.5,DNA not taken,Family Feast/funeral ,,,
331,22.05.18,540,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,51,DNA not taken,Family Feast/funeral ,,,
332,22.05.18,540,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,71.4,DNA not taken,Family Feast/funeral ,,,
333,22.05.18,540,Wagina,Choiseul,Green,N/A,Freediving,Night,Not taken,53,DNA not taken,Family Feast/funeral ,,,
334,20.10.16,120,Kia,Isabel,Green,Yes,Freediving/spear,Day,Kia 001,61,DNA not taken,Not recorded,,,
335,20.10.16,120,Kia,Isabel,Green,N/A,Freediving/spear,Day,Not taken,42,DNA not taken,Not recorded,,,
336,28.10.16,73,Kia,Isabel,Green,N/A,Freediving/spear,Night,Not taken,49,DNA not taken,Not recorded,,,
337,30.10.16,170,Kia,Isabel,Green,Yes,Freediving/spear,Day,Kia 004,66,DNA not taken,Not recorded,,,
338,06.11.16,173,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 005,53,DNA not taken,Not recorded,,,
339,06.11.16,129,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 006,46,DNA not taken,Not recorded,,,
340,10.11.16,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 007,52,DNA not taken,Community Feast,,,
341,10.11.16,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 008,75,DNA not taken,Community Feast,,,
342,10.11.16,56,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 009,85,DNA not taken,Community Feast,,,
343,27.11.16,135,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 010,48,DNA not taken,Not recorded,,,
344,27.11.16,173,Kia,Isabel,Hawksbill,Yes,Freediving/hook,Night,Kia 011,50,DNA not taken,Not recorded,,,
345,27.11.16,173,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 012,51.5,DNA not taken,Not recorded,,,
346,27.11.16,173,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 013,46.5,DNA not taken,Not recorded,,,
347,29.11.16,47,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 014,44,DNA not taken,Not recorded,,,
348,29.11.16,47,Kia,Isabel,Hawksbill,Yes,Freediving/spear,Night,Kia 015,45,DNA not taken,Not recorded,,,
349,29.11.16,47,Kia,Isabel,Green,Yes,Freediving/spear,NIght,Kia 016,47,DNA not taken,Not recorded,,,
350,03.12.16,130,Kia,Isabel,Green,Yes,Freediving/spear,Night,Kia 017,45,DNA not taken,Not recorded,,,
351,03.12.16,171,Kia,Isabel,Green,Yes,Freediving/hook,Night,Kia 018,41,DNA not taken,Not recorded,,,
