Community,Province,Day,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18
Kaonasugu,Makira,15,,,,,,,,,,Not Avalaible,Not Available,,,,
Kaonasugu,Makira,16,,,,,,,,,,Not Avalaible,Not Available,,,,
Kaonasugu,Makira,17,,,,,,,,,,Not Avalaible,Not Available,,,,
Kaonasugu,Makira,18,,,,,,,,,,Not Avalaible,Not Available,,,,
Kaonasugu,Makira,19,Not Available,,,,,,Not Available,,,Not Avalaible,,,,,
Kaonasugu,Makira,20,Not Available,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,21,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,22,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,23,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,24,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,25,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,26,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,27,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,28,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,29,,,,,,,,,,Not Avalaible,,Not Available,,,
Kaonasugu,Makira,30,,,,,,,,,,Not Avalaible,,,,,
Kaonasugu,Makira,31,,,,,,,,,,Not Avalaible,,,,,
Munda,Western,1,,,,,,,,,,Not Available,,,,,
Munda,Western,2,,,,,,,,,,Not Available,,,,,
Munda,Western,3,,,,,,,,,,Not Available,Not Available,,,,
Munda,Western,4,,,,,,,,,,Not Available,,Not Available,,,
Munda,Western,5,,,,,,,,,,,,,,,
Munda,Western,6,,,,,,,,,,,,,,,
Munda,Western,7,,,,,,,,,,,,,,,
Munda,Western,8,,,,,,,,,,,Not Available,,,,
Munda,Western,9,,,,,,,,,,,Not Available,,,,
Munda,Western,10,,,,,,,,,,,Not Available,,,,
Munda,Western,11,,,,,,,,,,,,,,,
Munda,Western,12,,,,,,,,,,,,Not Available,,,
Munda,Western,13,Not Available,,,,,,,,,,,Not Available,,,
Munda,Western,14,Not Available,,,,,,,,,,,,,,
Munda,Western,15,,,,,,,,,,,,,Not Available,,
Munda,Western,16,,,,,,,,,,,,,Not Available,,
Munda,Western,17,,,,,,,,,,,,,,,
Munda,Western,18,,,,,,,,,,Not Available,,,,,
Munda,Western,19,,,,,,,,,,Not Available,,,,,
Munda,Western,20,,,,,,,,,,,,,,,
Munda,Western,21,,,,,,,,,,,,,,,
Munda,Western,22,,,,,,,,,,,,,,,
Munda,Western,23,,,,,,,,,,,,,,,
Munda,Western,24,,,,,,,,,,,,,,,
Munda,Western,25,,,,,,,,,,,,,,,
Munda,Western,26,,,,,,,,,,,Not Available,,,,
Munda,Western,27,,,,,,,,,,,,Not Available,,,
Munda,Western,28,,,,,,,,,,,,Not Available,,,
Munda,Western,29,,,,,,,,,,,,Not Available,,,
Munda,Western,30,,,,,,,,,,,,,,,
Munda,Western,31,,,,,,,,,,,,,,,
Auki,Malaita,1,,,,,,,,,,,,,,,
Auki,Malaita,2,,,,,,,,,,,,,,,
Auki,Malaita,3,,,,,,,,,,,,,,,
Auki,Malaita,4,,,,,,,,,,,,,,,
Auki,Malaita,5,,,,,,,,,,,,,,,
Auki,Malaita,6,,,,,,,,,,,,,,,
Auki,Malaita,7,,,,,,,,,,,,,,,
Auki,Malaita,8,,,,,,,,,,,,,,,
Auki,Malaita,9,,,,,,,,,,,,,,,
Auki,Malaita,10,,,,,,,,,,,,,,,
Auki,Malaita,11,,,,,,,,,,,,,,,
Auki,Malaita,12,,,,,,,,,,,,,,,
Auki,Malaita,13,Not Available,,,,,,,,,,,,,,
Auki,Malaita,14,Not Available,,,,,,,,,,,,,,
Auki,Malaita,15,,,,,,,,,,,,,,,
Auki,Malaita,16,,,,,,,,,,,,,,,
Auki,Malaita,17,,,,,,,,,,,,,,,
Auki,Malaita,18,,,,,,,,,,,,,,,
Auki,Malaita,19,,,,,,,,,,,,,,,
Auki,Malaita,20,,,,,,,,,,,,,,,
Auki,Malaita,21,,,,,,,,,,,,,,,
Auki,Malaita,22,,,,,,,,,,,,,,,
Auki,Malaita,23,,,,,,,,,,,,,,,
Auki,Malaita,24,,,,,,,,,,,,,,,
Auki,Malaita,25,,,,,,,,,,,,,,,
Auki,Malaita,26,,,,,,,,,,,,,,,
Auki,Malaita,27,,,,,,,,,,,,,,,
Auki,Malaita,28,,,,,,,,,,,,,,,
Auki,Malaita,29,,,,,,,,,,,,,,,
Auki,Malaita,30,,,,,,,,,,,,,,,
Auki,Malaita,31,,,,,,,,,,,,,,,
Marau,Guadalcanal,1,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,2,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,3,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,4,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,5,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,6,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,7,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,8,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,9,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,10,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,11,Not Available,,,,,,,Not Available,,,,,,,
Marau,Guadalcanal,12,Not Available,,,,,,,,,,,,,,
Marau,Guadalcanal,13,,,,,,,,,,,,,,,
Marau,Guadalcanal,14,,,,,,,,,,,,,,,
Marau,Guadalcanal,15,,,,,,,,,,,,,,,
Marau,Guadalcanal,16,,,,,,,,,,,,,,,
Marau,Guadalcanal,17,,,,,,,,,,,,,,,
Marau,Guadalcanal,18,Not Available,,,,,,,,,,,,,,
Marau,Guadalcanal,19,Not Available,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,20,Not Available,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,21,Not Available,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,22,Not Available,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,23,Not Available,,,,,,Not Available,,,,,,,,
Marau,Guadalcanal,24,Not Available,,,,,,Not Available,,,,,,,,
